parent_company,subsidiary_name,source,reason
Meta,Siculus LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Sidecat LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,WhatsApp LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Cassin Networks ApS (Denmark),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Edge Network Services Limited (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Circularity LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook India Online Services Private Limited (India),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Operations LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Serviços Online Do Brasil Ltda. (Brazil),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook UK Limited (United Kingdom),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Goldframe LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Greater Kudu LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Hibiscus Properties LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Malkoha Pte. Ltd. (Singapore),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Meta Platforms Technologies LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Middle Mile Infrastructure LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Morning Hornet LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Offprints LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Omanyte LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Paile LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Pinnacle Sweden AB (Sweden),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Raven Northbrook LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Redale LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Runways Information Services Limited (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Scout Development LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Siculus Inc. (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Stadion LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Starbelt LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Velvet Tech Services LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Vitesse LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Winner LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Woolhawk LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Meta Platforms Ireland Ltd. (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Novi Financial Inc. (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
