company,year,topic,count,topic_label
Amazon,2019,17,1,17_thread scheduling_thread scheduler_multiprocessor_cores
Amazon,2019,19,2,19_storage control_storage controller_storage power_state storage
Amazon,2019,22,3,22_protocols_routing_multi hop_packet core
Amazon,2019,23,3,23_surface glass_glass substrate_glass_automated fabrication
Amazon,2019,32,5,32_light control_control light_light emitters_light sensor
Amazon,2019,35,1,35_backup power_power grid_grid power_power main
Amazon,2020,0,1,0_radio access_transmit_transmitting_radio resource
Amazon,2020,1,7,1_power management_power consumption_power mode_throttling
Amazon,2020,2,2,2_battery cells_anode cathode_battery cell_cathode anode
Amazon,2020,3,10,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Amazon,2020,4,3,4_cooling_thermal control_liquid cooling_thermal management
Amazon,2020,5,1,5_boost converter_power converters_power converter_converters
Amazon,2020,8,1,8_battery management_battery operation_dynamic battery_battery charging
Amazon,2020,10,1,10_packet processing_tcp_datagram protocol_protocol
Amazon,2020,13,1,13_power wirelessly_power transmitting_power receiving_transmitting power
Amazon,2020,15,1,15_voice activated_voice commands_speech recognition_voice guidance
Amazon,2020,20,3,20_virtual compute_virtual machines_virtual machine_virtualized
Amazon,2020,21,1,21_resource control_resource management_resource service_resource usage
Amazon,2020,22,1,22_protocols_routing_multi hop_packet core
Amazon,2020,25,1,25_resource management_datacenter power_datacenter_physical resource
Amazon,2020,28,1,28_instruction memory_instruction blocks_instruction block_memory operations
Amazon,2020,29,1,29_energy usage_consumption hardware_energy utilization_power consumption
Amazon,2020,32,1,32_light control_control light_light emitters_light sensor
Amazon,2020,35,1,35_backup power_power grid_grid power_power main
Amazon,2021,0,2,0_radio access_transmit_transmitting_radio resource
Amazon,2021,1,7,1_power management_power consumption_power mode_throttling
Amazon,2021,2,1,2_battery cells_anode cathode_battery cell_cathode anode
Amazon,2021,3,9,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Amazon,2021,8,2,8_battery management_battery operation_dynamic battery_battery charging
Amazon,2021,15,2,15_voice activated_voice commands_speech recognition_voice guidance
Amazon,2021,16,1,16_trained neural_deep neural_neural_hardware accelerator
Amazon,2021,21,1,21_resource control_resource management_resource service_resource usage
Amazon,2021,23,1,23_surface glass_glass substrate_glass_automated fabrication
Amazon,2021,32,3,32_light control_control light_light emitters_light sensor
Amazon,2021,35,1,35_backup power_power grid_grid power_power main
Amazon,2022,0,3,0_radio access_transmit_transmitting_radio resource
Amazon,2022,1,2,1_power management_power consumption_power mode_throttling
Amazon,2022,2,1,2_battery cells_anode cathode_battery cell_cathode anode
Amazon,2022,3,3,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Amazon,2022,6,1,6_memory management_memory banks_memory controller_memory blocks
Amazon,2022,9,1,9_electrolyte lithium_electrochemical cell_cells electrolyte_battery cells
Amazon,2022,11,1,11_memory cache_cache memory_instruction cache_cache cache
Amazon,2022,13,1,13_power wirelessly_power transmitting_power receiving_transmitting power
Amazon,2022,15,2,15_voice activated_voice commands_speech recognition_voice guidance
Amazon,2022,16,2,16_trained neural_deep neural_neural_hardware accelerator
Amazon,2022,18,1,18_printed boards_printed board_electrically_conductive layers
Amazon,2022,20,3,20_virtual compute_virtual machines_virtual machine_virtualized
Amazon,2022,21,1,21_resource control_resource management_resource service_resource usage
Amazon,2022,22,1,22_protocols_routing_multi hop_packet core
Amazon,2022,23,1,23_surface glass_glass substrate_glass_automated fabrication
Amazon,2022,32,2,32_light control_control light_light emitters_light sensor
Amazon,2023,1,1,1_power management_power consumption_power mode_throttling
Amazon,2023,3,1,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Amazon,2023,4,1,4_cooling_thermal control_liquid cooling_thermal management
Amazon,2023,17,1,17_thread scheduling_thread scheduler_multiprocessor_cores
Amazon,2023,20,2,20_virtual compute_virtual machines_virtual machine_virtualized
Amazon,2023,21,1,21_resource control_resource management_resource service_resource usage
Amazon,2024,0,1,0_radio access_transmit_transmitting_radio resource
Amazon,2024,13,1,13_power wirelessly_power transmitting_power receiving_transmitting power
Amazon,2024,25,1,25_resource management_datacenter power_datacenter_physical resource
Amazon,2025,2,1,2_battery cells_anode cathode_battery cell_cathode anode
Amazon,2025,6,1,6_memory management_memory banks_memory controller_memory blocks
Amazon,2025,8,1,8_battery management_battery operation_dynamic battery_battery charging
Apple,2010,0,1,0_radio access_transmit_transmitting_radio resource
Apple,2010,1,3,1_power management_power consumption_power mode_throttling
Apple,2010,2,1,2_battery cells_anode cathode_battery cell_cathode anode
Apple,2010,4,2,4_cooling_thermal control_liquid cooling_thermal management
Apple,2010,5,1,5_boost converter_power converters_power converter_converters
Apple,2010,11,1,11_memory cache_cache memory_instruction cache_cache cache
Apple,2010,12,3,12_ambient light_ambient lighting_sensor ambient_light sensors
Apple,2010,13,1,13_power wirelessly_power transmitting_power receiving_transmitting power
Apple,2010,19,1,19_storage control_storage controller_storage power_state storage
Apple,2010,27,1,27_display processing_image display_processing display_managing display
Apple,2010,32,1,32_light control_control light_light emitters_light sensor
Apple,2011,0,2,0_radio access_transmit_transmitting_radio resource
Apple,2011,1,9,1_power management_power consumption_power mode_throttling
Apple,2011,2,2,2_battery cells_anode cathode_battery cell_cathode anode
Apple,2011,3,1,3_aerial vehicles_aerial vehicle_unmanned aerial_aerial
Apple,2011,5,1,5_boost converter_power converters_power converter_converters
Apple,2011,6,2,6_memory management_memory banks_memory controller_memory blocks
Apple,2011,12,2,12_ambient light_ambient lighting_sensor ambient_light sensors
Apple,2011,18,2,18_printed boards_printed board_electrically_conductive layers
